question_id	pass_fail	pass_at_1
1873_A	FAIL	0.000000
1873_B	FAIL	0.000000
1873_D	FAIL	0.000000
1883_B	FAIL	0.000000
1883_C	FAIL	0.000000
1899_A	FAIL	0.000000
1899_B	FAIL	0.000000
1899_C	FAIL	0.000000
1899_D	FAIL	0.000000
2727	FAIL	0.000000
2728	FAIL	0.000000
2730	FAIL	0.000000
2754	FAIL	0.000000
2755	FAIL	0.000000
2756	FAIL	0.000000
2757	PASS	1.000000
2777	FAIL	0.000000
2779	FAIL	0.000000
2784	FAIL	0.000000
2785	FAIL	0.000000
2786	FAIL	0.000000
2791	FAIL	0.000000
2792	FAIL	0.000000
2800	FAIL	0.000000
2802	FAIL	0.000000
2808	FAIL	0.000000
2810	FAIL	0.000000
2811	FAIL	0.000000
2812	FAIL	0.000000
2816	FAIL	0.000000
2817	FAIL	0.000000
2819	FAIL	0.000000
2824	PASS	1.000000
2825	FAIL	0.000000
2827	FAIL	0.000000
2828	FAIL	0.000000
2831	FAIL	0.000000
2832	FAIL	0.000000
2833	FAIL	0.000000
2834	FAIL	0.000000
2837	PASS	1.000000
2839	FAIL	0.000000
2844	FAIL	0.000000
2845	FAIL	0.000000
2847	FAIL	0.000000
2848	FAIL	0.000000
2849	FAIL	0.000000
2850	FAIL	0.000000
2854	FAIL	0.000000
2855	FAIL	0.000000
3091	FAIL	0.000000
3093	FAIL	0.000000
3094	PASS	1.000000
3104	FAIL	0.000000
3106	PASS	1.000000
3114	PASS	1.000000
3141	FAIL	0.000000
3151	PASS	1.000000
3364	FAIL	0.000000
3367	FAIL	0.000000
3371	FAIL	0.000000
3372	FAIL	0.000000
3373	PASS	1.000000
3374	FAIL	0.000000
3375	FAIL	0.000000
3376	FAIL	0.000000
3379	PASS	1.000000
3381	FAIL	0.000000
3382	FAIL	0.000000
3383	FAIL	0.000000
3384	PASS	1.000000
3387	FAIL	0.000000
3388	FAIL	0.000000
3394	FAIL	0.000000
3395	FAIL	0.000000
3396	FAIL	0.000000
3397	FAIL	0.000000
3563	FAIL	0.000000
3566	FAIL	0.000000
3567	PASS	1.000000
3570	FAIL	0.000000
3571	FAIL	0.000000
3763	FAIL	0.000000
3764	FAIL	0.000000
3765	FAIL	0.000000
3768	PASS	1.000000
3770	FAIL	0.000000
abc315_d	FAIL	0.000000
abc338_e	FAIL	0.000000
abc360_c	FAIL	0.000000
abc360_d	FAIL	0.000000
abc360_e	FAIL	0.000000
abc361_a	FAIL	0.000000
abc361_b	PASS	1.000000
abc361_c	FAIL	0.000000
abc361_d	FAIL	0.000000
abc361_e	FAIL	0.000000
abc377_b	FAIL	0.000000
abc377_c	FAIL	0.000000
abc377_d	FAIL	0.000000
abc377_e	FAIL	0.000000
abc377_f	FAIL	0.000000
abc377_g	FAIL	0.000000
abc378_a	PASS	1.000000
abc378_b	FAIL	0.000000
abc378_c	PASS	1.000000
abc378_e	FAIL	0.000000
abc394_d	PASS	1.000000
abc394_e	FAIL	0.000000
abc394_f	FAIL	0.000000
abc394_g	FAIL	0.000000
abc395_a	FAIL	0.000000
abc395_b	PASS	1.000000
abc395_c	PASS	1.000000
abc395_e	FAIL	0.000000
abc395_f	FAIL	0.000000
abc396_a	FAIL	0.000000
abc396_b	FAIL	0.000000
abc396_c	FAIL	0.000000
abc396_d	PASS	1.000000
